Type,Name,Solid,Physics,Flammable,Opacity,Luminance,Blast Resistance,Meta-data,NBT Data,Diffuse,Flow Speed (b/tick)
36,Technical,Yes,No,No,0,0,0,No,Piston,No,
37,Dandelion,No,No,No,0,0,0,No,,No,
38,Rose,No,No,No,0,0,0,No,,No,
39,Brown Mushroom,No,No,No,0,1,0,No,,No,
40,Red Mushroom,No,No,No,0,0,0,No,,No,
41,Gold,Yes,No,No,15,0,30,No,,No,
42,Iron,Yes,No,No,15,0,30,No,,No,
43,Double Stone Slab,Yes,No,No,15,0,30,Yes,,No,
44,Stone Slab,Yes,No,No,0,0,30,Yes,,No,
45,Brick,Yes,No,No,15,0,30,No,,No,
46,TNT,Yes,No,Yes,10,0,0,No,,No,
47,Bookshelf,Yes,No,Yes,15,0,7.5,No,,No,
48,Moss Stone,Yes,No,No,15,0,30,No,,No,
49,Obsidian,Yes,No,No,15,0,6000,No,,No,
50,Torch,No,No,No,0,14,0,Yes,,No,
51,Fire,No,No,No,0,15,0,Yes,,No,
52,Monster Spawner,Yes,No,No,15,0,25,No,MobSpawner,No,
53,Wood Stairs,Yes,No,Yes,0,0,15,Yes,,No,
54,Chest,Yes,No,Yes,0,0,12.5,Yes,Chest,No,
55,Redstone Wire,No,No,No,0,0,0,Yes,,No,
56,Diamond Ore,Yes,No,No,15,0,15,No,,No,
57,Diamond,Yes,No,No,15,0,30,No,,No,
58,Crafting Table,Yes,No,Yes,15,0,12.5,No,,No,
59,Wheat,No,No,No,0,0,0,Yes,,No,
60,Farmland,Yes,No,No,15,0,3,Yes,,No,
61,Furnace,Yes,No,No,15,0,17.5,Yes,Furnace,No,
62,Lit Furnace,Yes,No,No,15,13,17.5,Yes,Furnace,No,
63,Sign Post,No,No,Yes,0,0,5,Yes,Sign,No,
64,Wood Door,Yes,No,Yes,0,0,15,Yes,,No,
65,Ladder,Yes,No,No,0,0,2,Yes,,No,
66,Rail,No,No,No,0,0,3.5,Yes,,No,
67,Cobblestone Stairs,Yes,No,No,0,0,30,Yes,,No,
68,Wall Sign,No,No,Yes,0,0,5,Yes,Sign,No,
69,Lever,No,No,No,0,0,2.5,Yes,,No,
70,Stone Plate,No,No,No,0,0,2.5,Yes,,No,
71,IronDoor,Yes,No,No,0,0,25,Yes,,No,
72,Wood Plate,No,No,Yes,0,0,2.5,Yes,,No,
73,Redstone Ore,Yes,No,No,15,0,15,No,,No,
74,Glowing Redstone Ore,Yes,No,No,15,9,15,No,,No,
75,Disabled Redstone Torch,No,No,No,0,0,0,Yes,,No,
76,Redstone Torch,No,No,No,0,7,0,Yes,,No,
77,Stone Button,No,No,No,0,0,2.5,Yes,,No,
78,Snow Cover,Yes,No,No,0,0,0.5,Yes,,No,
79,Ice,Yes,No,No,13,0,2.5,No,,No,
80,Snow,Yes,No,No,15,0,1,No,,No,
81,Cactus,Yes,No,No,0,0,2,Yes,,No,
82,Clay,Yes,No,No,15,0,3,No,,No,
83,Sugar Cane,No,No,No,0,0,0,Yes,,No,
84,Jukebox,Yes,No,Yes,15,0,30,Yes,RecordPlayer,No,
85,Fence,Yes,No,Yes,0,0,15,No,,No,
86,Pumpkin,Yes,No,No,15,0,5,Yes,,No,
87,Netherrack,Yes,No,Yes,15,0,2,No,,No,
88,Soul Sand,Yes,No,No,15,0,2.5,No,,No,
89,Glowstone,Yes,No,No,0,15,1.5,No,,No,
90,Nether Portal,No,No,No,0,11,0,No,,No,
91,JackOLantern,Yes,No,No,15,15,5,Yes,,No,
92,Cake,Yes,No,No,0,0,2.5,Yes,,No,
93,Disabled Diode,Yes,No,No,15,0,0,Yes,,No,
94,Diode,Yes,No,No,15,9,0,Yes,,No,
95,Locked Chest,Yes,No,Yes,15,15,0,No,,No,
96,Trapdoor,Yes,No,Yes,0,0,15,Yes,,No,
97,Silverfish,Yes,No,No,15,0,3.75,Yes,,No,
98,Stone Brick,Yes,No,No,15,0,30,Yes,,No,
99,Huge Brown Mushroom,Yes,No,Yes,15,0,1,Yes,,No,
100,Huge Red Mushroom,Yes,No,Yes,15,0,1,Yes,,No,
101,Iron Bars,Yes,No,No,0,0,30,No,,No,
102,Glass Pane,Yes,No,No,0,0,1.5,No,,No,
103,Melon,Yes,No,No,15,0,5,No,,No,
104,Pumpkin Stem,No,No,No,0,0,0,Yes,,No,
105,Melon Stem,No,No,No,0,0,0,Yes,,No,
106,Vines,No,No,Yes,0,0,1,Yes,,No,
107,Gate,Yes,No,Yes,0,0,15,Yes,,No,
108,Brick Stairs,Yes,No,No,0,0,30,Yes,,No,
109,Stone Brick Stairs,Yes,No,No,0,0,30,Yes,,No,
110,Mycelium,Yes,No,No,15,0,2.5,No,,No,
111,Lily Pad,Yes,No,No,0,0,0,No,,No,
112,Nether Brick,Yes,No,No,15,0,30,No,,No,
113,Nether Brick Fence,Yes,No,No,0,0,30,No,,No,
114,Nether Brick Stairs,Yes,No,No,0,0,30,Yes,,No,
115,Nether Wart,No,No,No,0,0,0,Yes,,No,
116,Enchantment Table,Yes,No,No,0,0,6000,No,EnchantTable,No,
117,Brewing Stand,Yes,No,No,0,1,2.5,Yes,Cauldron,No,
118,Cauldron,Yes,No,No,0,0,10,Yes,,No,
119,End Portal,No,No,No,15,15,0,No,,No,
120,End Portal Frame,Yes,No,No,0,1,18000000,Yes,,No,
121,End Stone,Yes,No,No,15,0,45,No,,No,
122,Dragon Egg,Yes,Yes,No,0,1,45,No,,No,
123,Inactive Lamp,Yes,No,No,15,0,1.5,No,,No,
124,Lamp,Yes,No,No,15,15,1.5,No,,No,
125,Double Wood Slab,Yes,No,Yes,15,0,15,Yes,,No,
126,Wood Slab,Yes,No,Yes,0,0,15,Yes,,No,
127,Cocoa Plant,Yes,No,No,0,0,15,Yes,,No,
128,Sandstone Stairs,Yes,No,No,15,0,30,Yes,,No,
129,Emerald Ore,Yes,No,No,15,0,15,No,,No,
130,Ender Chest,Yes,No,No,0,7,3000,Yes,EnderChest,No,
131,Tripwire Hook,No,No,No,0,0,2.5,Yes,,No,
132,Tripwire,No,No,No,0,0,0,Yes,,No,
133,Emerald,Yes,No,No,15,0,30,No,,No,
134,Spruce Wood Stairs,Yes,No,Yes,0,0,15,Yes,,No,
135,Birch Wood Stairs,Yes,No,Yes,0,0,15,Yes,,No,
136,Jungle Wood Stairs,Yes,No,Yes,0,0,15,Yes,,No,
137,Command,Yes,No,No,15,0,0,No,Control,No,
138,Beacon,Yes,No,No,0,15,15,No,Beacon,No,
139,Cobblestone Wall,Yes,No,No,0,0,30,Yes,,No,
140,Flower Pot,Yes,No,No,0,0,0,Yes,,No,
141,Carrot,No,No,No,0,0,0,Yes,,No,
142,Potato,No,No,No,0,0,0,Yes,,No,
143,Wood Button,No,No,No,0,0,2.5,Yes,,No,
144,Mob Head,Yes,No,No,0,0,5,Yes,Skull,No,
145,Anvil,Yes,Yes,No,0,0,6000,Yes,,No,
146,Trap Chest,Yes,No,No,0,0,12.5,Yes,Chest,No,
147,Light Plate,No,No,No,0,0,2.5,Yes,,No,
148,Heavy Plate,No,No,No,0,0,2.5,Yes,,No,
149,Inactive Comparator,Yes,No,No,0,0,0,Yes,,No,
150,Comparator,Yes,No,No,0,9,0,Yes,,No,
151,Daylight Sensor,Yes,No,No,0,0,1,No,DLDetector,No,
152,Redstone,Yes,No,No,15,0,30,No,,No,
153,Nether Quartz Ore,Yes,No,No,15,0,15,No,,No,
154,Hopper,Yes,No,No,0,0,15,Yes,Hopper,No,
155,Quartz,Yes,No,No,15,0,4,Yes,,No,
156,Quartz Stairs,Yes,No,No,0,0,30,Yes,,No,
157,Activator Rail,No,No,No,0,0,3.5,Yes,,No,
158,Dropper,Yes,No,No,15,0,30,Yes,Dropper,No,
